Repo,Relate,Duplicate,Subtask,Depend,Clone,Incorporate,Epic,Block,Cause,Non-Link
Apache,0.14,0.29,0.0,0.08,0.9,0.07,0.0,0.03,0.09,0.0
Hyperledger,0.33,0.44,0.21,,0.95,,0.06,0.31,,0.0
IntelDAOS,0.18,0.29,0.07,,0.99,,,0.11,,0.0
JFrog,0.37,0.38,0.0,0.28,1.0,0.27,,,,0.02
Jira,0.89,0.44,0.06,0.49,0.92,0.4,,0.29,0.34,0.03
JiraEcosystem,0.25,0.48,0.0,0.15,0.94,0.13,0.0,0.13,0.24,0.0
MariaDB,0.25,0.32,0.06,,,0.13,0.0,0.22,0.13,0.04
Mojang,0.24,0.19,,,0.37,,,0.19,,0.0
MongoDB,0.17,0.31,0.17,0.24,1.0,,0.0,,0.13,0.0
Qt,0.24,0.3,0.21,0.12,0.91,,0.0,0.2,,0.0
RedHat,0.21,0.36,0.17,,1.0,0.0,,0.1,0.16,0.0
Sakai,0.24,0.39,0.15,0.18,0.89,0.19,,0.12,,0.0
SecondLife,0.25,,0.17,0.15,0.58,0.0,,,,0.03
Sonatype,0.27,0.4,0.0,0.14,,,0.34,,0.21,0.0
Spring,0.2,0.3,0.0,0.16,0.3,,0.0,,,0.0
