,precision,recall,f1-score,support
Subtask,0.8913167829767761,0.9298800501283045,0.9101901340576536,16757.0
Relate,0.5953458306399483,0.7001866058469832,0.6435241059518515,14469.0
Duplicate,0.5444890252537172,0.4449373191899711,0.48970494587136487,5185.0
Block,0.5951634572324227,0.4622608695652174,0.5203602192638996,2875.0
Epic,0.9589523064894449,0.9808076769292283,0.9697568689464321,2501.0
Depend,0.5148465022647207,0.4092,0.4559839536438601,2500.0
Non-Link,0.7661713286713286,0.753978494623656,0.7600260134402774,2325.0
Incorporate,0.5953984287317621,0.5083852419741255,0.5484621349185835,2087.0
Breaks,0.40581717451523547,0.3367816091954023,0.3680904522613065,870.0
Clone,0.667578659370725,0.5648148148148148,0.6119122257053291,864.0
Require,0.47322970639032813,0.3784530386740331,0.4205679201841903,724.0
Supercede,0.3756345177664975,0.2276923076923077,0.28352490421455945,650.0
Cause,0.423444976076555,0.28502415458937197,0.34071222329162654,621.0
accuracy,0.7060921644922561,0.7060921644922561,0.7060921644922561,0.7060921644922561
macro avg,0.6005683612599586,0.5371078602479551,0.5632935462885335,52428.0
weighted avg,0.6975874437917492,0.7060921644922561,0.698571000599112,52428.0
