,precision,recall,f1-score,support
Epic,0.9501116902457185,0.9876160990712074,0.9685009487666034,1292.0
Subtask,0.8998875140607424,0.8898776418242491,0.8948545861297538,899.0
Relate,0.6782178217821783,0.732620320855615,0.7043701799485862,561.0
Non-Link,0.8385542168674699,0.8529411764705882,0.8456865127582016,408.0
Block,0.6451612903225806,0.5947955390334573,0.6189555125725339,269.0
Duplicate,0.5645161290322581,0.2734375,0.368421052631579,128.0
Clone,0.8314606741573034,0.7789473684210526,0.8043478260869564,95.0
accuracy,0.8499452354874042,0.8499452354874042,0.8499452354874042,0.8499452354874042
macro avg,0.7725584766383217,0.7300336636680241,0.7435909455563163,3652.0
weighted avg,0.8444547407167724,0.8499452354874042,0.8450271736009635,3652.0
