,precision,recall,f1-score,support
Relate,0.6548672566371682,0.729064039408867,0.6899766899766899,203.0
Block,0.6713286713286714,0.7218045112781954,0.6956521739130435,133.0
Subtask,0.7741935483870968,0.8727272727272727,0.8205128205128205,55.0
Duplicate,0.5806451612903226,0.36,0.4444444444444445,50.0
Non-Link,0.6153846153846154,0.4,0.4848484848484849,40.0
finish-start,0.8666666666666667,0.65,0.7428571428571429,20.0
Verify,1.0,1.0,1.0,8.0
Clone,1.0,0.75,0.8571428571428571,8.0
accuracy,0.6827852998065764,0.6827852998065764,0.6827852998065764,0.6827852998065764
macro avg,0.7703857399618177,0.6854494779267919,0.7169293267119354,517.0
weighted avg,0.6804378869605084,0.6827852998065764,0.6751366724455615,517.0
