,precision,recall,f1-score,support
Subtask,0.9563318777292577,0.9399141630901288,0.948051948051948,233.0
Relate,0.5087719298245614,0.655367231638418,0.5728395061728395,177.0
Duplicate,0.5555555555555556,0.46511627906976744,0.5063291139240507,129.0
Non-Link,0.7959183673469388,0.6610169491525424,0.7222222222222222,59.0
Depend,0.4883720930232558,0.4117647058823529,0.44680851063829785,51.0
Trigger,0.14634146341463414,0.15,0.14814814814814814,40.0
Incorporate,0.0,0.0,0.0,9.0
accuracy,0.660458452722063,0.660458452722063,0.660458452722063,0.660458452722063
macro avg,0.4930416124134577,0.46902561840474416,0.4777713498796437,698.0
weighted avg,0.6622699780956618,0.660458452722063,0.6574920104075777,698.0
