,precision,recall,f1-score,support
Relate,0.8544528134692069,0.9133317546767701,0.8829117546068445,12669.0
Duplicate,0.7593457943925234,0.6744293290292829,0.7143729393088288,4337.0
Non-Link,0.8732943469785575,0.8525214081826832,0.862782859894078,1051.0
Clone,0.610051993067591,0.6143106457242583,0.6121739130434782,573.0
Subtask,0.941908713692946,0.9171717171717172,0.9293756397134085,495.0
Incorporate,0.7725947521865889,0.5408163265306123,0.6362545018007204,490.0
Detail,0.9290123456790124,0.8048128342245989,0.8624641833810889,374.0
Cause,0.515,0.28851540616246496,0.3698384201077199,357.0
accuracy,0.8290081588518627,0.8290081588518627,0.8290081588518627,0.8290081588518627
macro avg,0.7819575949333033,0.7007386777127985,0.733771776482021,20346.0
weighted avg,0.8238405295368788,0.8290081588518627,0.824132726969555,20346.0
