,precision,recall,f1-score,support
Relate,0.7269957343083485,0.7985274431057564,0.7610845295055823,1494.0
Block,0.6927536231884058,0.6289473684210526,0.6593103448275862,380.0
Non-Link,0.7715877437325905,0.7568306010928961,0.7641379310344828,366.0
Duplicate,0.40611353711790393,0.3381818181818182,0.36904761904761907,275.0
Incorporate,0.6826086956521739,0.6796536796536796,0.6811279826464208,231.0
Epic,0.9836956521739131,0.9627659574468085,0.9731182795698924,188.0
Subtask,0.8728323699421965,0.848314606741573,0.8603988603988603,178.0
Cause,0.616,0.4425287356321839,0.5150501672240803,174.0
accuracy,0.7206329884357882,0.7206329884357882,0.7206329884357882,0.7206329884357882
macro avg,0.7190734195144415,0.6819687762844711,0.6979094642818156,3286.0
weighted avg,0.7147370340644787,0.7206329884357882,0.7157082540812504,3286.0
