,precision,recall,f1-score,support
Relate,0.6913514473450542,0.7640824337585869,0.7258996830132389,5095.0
Depend,0.7227056962025317,0.6555435952637244,0.6874882408278458,2787.0
Epic,0.9615014436958614,0.983751846381093,0.9724993915794597,2031.0
Duplicate,0.5133614627285513,0.42491268917345754,0.46496815286624205,1718.0
Non-Link,0.6856835306781486,0.7485311398354877,0.7157303370786517,851.0
Documented,0.855072463768116,0.8082191780821918,0.8309859154929579,365.0
Cause,0.4881889763779528,0.2857142857142857,0.3604651162790698,217.0
Subtask,0.7874396135265701,0.9157303370786517,0.8467532467532468,178.0
Split,0.928,0.7733333333333333,0.8436363636363636,150.0
accuracy,0.7258811230585425,0.7258811230585425,0.7258811230585425,0.7258811230585425
macro avg,0.7370338482580874,0.7066465376245347,0.7164918275030084,13392.0
weighted avg,0.720751210992956,0.7258811230585425,0.7210524941585049,13392.0
