,precision,recall,f1-score,support
Subtask,0.9235796882855707,0.9367669556348802,0.930126582278481,1961.0
Relate,0.5122838944494995,0.6262513904338154,0.5635635635635636,1798.0
Depend,0.7609233305853257,0.737220447284345,0.7488843813387424,1252.0
Epic,0.9402319357716324,0.9705340699815838,0.9551427276846397,1086.0
Duplicate,0.4889543446244477,0.3910482921083628,0.43455497382198954,849.0
Non-Link,0.8038632986627043,0.8086696562032885,0.8062593144560357,669.0
Split,0.4914004914004914,0.37523452157598497,0.425531914893617,533.0
Replace,0.5182291666666666,0.3856589147286822,0.44222222222222224,516.0
accuracy,0.7169898430286242,0.7169898430286242,0.7169898430286242,0.7169898430286242
macro avg,0.6799332688057924,0.6539230309938678,0.6632857100324114,8664.0
weighted avg,0.7142455679128569,0.7169898430286242,0.7127739605595492,8664.0
