,precision,recall,f1-score,support
Relate,0.6007511194568829,0.6706982744718594,0.6338006705272783,6201.0
Subtask,0.8736200989722116,0.9205776173285198,0.896484375,4986.0
Clone,0.8350095134547432,0.8313937753721244,0.8331977217249797,3695.0
Block,0.6514251781472684,0.6032444322243607,0.6264097073518916,3637.0
Incorporate,0.7981744421906694,0.7382739212007504,0.767056530214425,2132.0
Duplicate,0.3363533408833522,0.2510566356720203,0.287512100677638,1183.0
Non-Link,0.7433962264150943,0.6912280701754386,0.7163636363636364,1140.0
Follow,0.4955654101995565,0.43567251461988304,0.46369294605809125,1026.0
Cause,0.4155405405405405,0.3886255924170616,0.4016326530612245,633.0
accuracy,0.7050298380221653,0.7050298380221653,0.7050298380221653,0.7050298380221653
macro avg,0.6388706522511466,0.6145300926091131,0.6251278156643517,24633.0
weighted avg,0.7004544275776438,0.7050298380221653,0.7014620652831155,24633.0
