,precision,recall,f1-score,support
Subtask,0.8484848484848485,0.8888888888888888,0.8682170542635659,63.0
Relate,0.6904761904761905,0.7837837837837838,0.7341772151898734,37.0
Non-Link,0.8947368421052632,0.8095238095238095,0.8500000000000001,21.0
Clone,0.4,0.4,0.4000000000000001,10.0
Parent-Child,0.42857142857142855,0.375,0.39999999999999997,8.0
Depend,0.5,0.3333333333333333,0.4,6.0
Incorporate,0.0,0.0,0.0,3.0
accuracy,0.75,0.75,0.75,0.75
macro avg,0.5374670442339615,0.5129328307899736,0.5217706099219199,148.0
weighted avg,0.731217632533422,0.75,0.7385961579772296,148.0
