,precision,recall,f1-score,support
Relate,0.6693766937669376,0.6918767507002801,0.6804407713498623,357.0
Subtask,0.9104477611940298,0.9070631970260223,0.9087523277467411,269.0
Non-Link,0.75,0.7037037037037037,0.7261146496815287,81.0
Bonfire Testing,0.3764705882352941,0.4444444444444444,0.4076433121019108,72.0
Duplicate,0.34375,0.3235294117647059,0.33333333333333337,68.0
Cause,0.2727272727272727,0.2553191489361702,0.26373626373626374,47.0
Depend,0.43333333333333335,0.40625,0.41935483870967744,32.0
Supercede,0.2,0.13636363636363635,0.16216216216216214,22.0
Fix,0.2777777777777778,0.23809523809523808,0.25641025641025644,21.0
accuracy,0.6553147574819401,0.6553147574819401,0.6553147574819401,0.6553147574819401
macro avg,0.47043149189273836,0.456293947892689,0.4619942128035262,969.0
weighted avg,0.6522466373654425,0.6553147574819401,0.6532209963720116,969.0
