,precision,recall,f1-score,support
Relate,0.7096774193548387,0.7487328023171614,0.7286821705426357,1381.0
Subtask,0.8275862068965517,0.8041237113402062,0.8156862745098039,388.0
Depend,0.4334862385321101,0.54,0.48091603053435117,350.0
Duplicate,0.4672131147540984,0.32664756446991405,0.38448566610455315,349.0
Epic,0.9818731117824774,0.9938837920489296,0.9878419452887538,327.0
Non-Link,0.729483282674772,0.7476635514018691,0.7384615384615385,321.0
Supercede,0.3783783783783784,0.14736842105263157,0.2121212121212121,95.0
accuracy,0.6938648396138275,0.6938648396138275,0.6938648396138275,0.6938648396138275
macro avg,0.6468139646247467,0.6154885489472445,0.6211706910804068,3211.0
weighted avg,0.6873647188345472,0.6938648396138275,0.686865289720893,3211.0
