,Subtask,Relate,Duplicate,Block,Epic,Depend,Non-Link,Incorporate,Breaks,Clone,Require,Supercede,Cause
Subtask,0.93,0.06,0.04,0.06,0.0,0.08,0.04,0.11,0.04,0.03,0.1,0.07,0.04
Relate,0.04,0.71,0.46,0.35,0.01,0.37,0.16,0.27,0.48,0.23,0.34,0.46,0.5
Duplicate,0.0,0.08,0.37,0.03,0.0,0.05,0.01,0.03,0.05,0.11,0.03,0.07,0.04
Block,0.0,0.03,0.02,0.43,0.0,0.04,0.03,0.02,0.03,0.01,0.04,0.05,0.02
Epic,0.0,0.01,0.0,0.01,0.98,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Depend,0.01,0.03,0.03,0.04,0.0,0.4,0.02,0.03,0.02,0.02,0.06,0.05,0.0
Non-Link,0.0,0.02,0.01,0.03,0.0,0.02,0.7,0.01,0.02,0.01,0.02,0.02,0.03
Incorporate,0.01,0.02,0.01,0.02,0.0,0.02,0.01,0.49,0.02,0.01,0.04,0.02,0.04
Breaks,0.0,0.01,0.01,0.01,0.0,0.0,0.01,0.01,0.28,0.0,0.0,0.02,0.05
Clone,0.0,0.01,0.03,0.0,0.0,0.01,0.0,0.01,0.0,0.56,0.0,0.01,0.01
Require,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.01,0.0,0.35,0.01,0.01
Supercede,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.01,0.21,0.01
Cause,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.01,0.01,0.26
