,precision,recall,f1-score,support
Block,0.25892857142857145,0.1070110701107011,0.15143603133159267,271.0
Epic,0.8934426229508197,0.9294573643410853,0.9110942249240122,1290.0
Relate,0.4118404118404118,0.5947955390334573,0.4866920152091254,538.0
Duplicate,0.35135135135135137,0.10743801652892562,0.16455696202531644,121.0
Subtask,0.7374872318692544,0.7771797631862217,0.7568134171907758,929.0
Clone,0.7777777777777778,0.47297297297297297,0.5882352941176471,74.0
Non-Link,0.2972222222222222,0.2494172494172494,0.27122940430925224,429.0
accuracy,0.6640197152245345,0.6640197152245345,0.6640197152245345,0.6640197152245345
macro avg,0.5325785984914869,0.4626102822272305,0.47572247844396026,3652.0
weighted avg,0.6453953474377824,0.6640197152245345,0.6465139381199386,3652.0
