,precision,recall,f1-score,support
Relate,0.5247933884297521,0.596244131455399,0.5582417582417583,213.0
finish-start,0.9,0.5,0.6428571428571429,18.0
Block,0.47297297297297297,0.48951048951048953,0.48109965635738833,143.0
Subtask,0.46153846153846156,0.7142857142857143,0.5607476635514019,42.0
Duplicate,0.09523809523809523,0.04081632653061224,0.05714285714285714,49.0
Clone,0.3333333333333333,0.125,0.18181818181818182,8.0
Verify,0.6,0.375,0.4615384615384615,8.0
Non-Link,0.125,0.08108108108108109,0.09836065573770492,37.0
accuracy,0.47297297297297297,0.47297297297297297,0.47297297297297297,0.47297297297297297
macro avg,0.4391095314390769,0.365242217857912,0.3802257971556121,518.0
weighted avg,0.44741134283517575,0.47297297297297297,0.4525323807226577,518.0
