,precision,recall,f1-score,support
Subtask,0.5348837209302325,0.9704641350210971,0.689655172413793,237.0
Relate,0.3925925925925926,0.28191489361702127,0.32817337461300305,188.0
Depend,0.2777777777777778,0.10638297872340426,0.15384615384615385,47.0
Duplicate,0.2872340425531915,0.23076923076923078,0.2559241706161138,117.0
Trigger,0.0,0.0,0.0,44.0
Incorporate,0.0,0.0,0.0,15.0
Non-Link,0.11764705882352941,0.04,0.05970149253731344,50.0
accuracy,0.45415472779369626,0.45415472779369626,0.45415472779369626,0.45415472779369626
macro avg,0.23001931323961772,0.23279017687582196,0.2124714805751967,698.0
weighted avg,0.36263487212511164,0.45415472779369626,0.38009146433958996,698.0
