,precision,recall,f1-score,support
Clone,0.6231884057971014,0.14052287581699346,0.2293333333333333,612.0
Duplicate,0.47138785354089013,0.5016332244517032,0.4860404656945857,4286.0
Cause,0.8888888888888888,0.022727272727272728,0.0443213296398892,352.0
Relate,0.7594979878589455,0.8762886597938144,0.8137240572931891,12707.0
Incorporate,0.6595744680851063,0.06339468302658487,0.11567164179104478,489.0
Detail,0.4935064935064935,0.4021164021164021,0.4431486880466472,378.0
Subtask,0.5476190476190477,0.4801670146137787,0.5116796440489433,479.0
Non-Link,0.3473282442748092,0.08250226654578423,0.13333333333333333,1103.0
accuracy,0.6803391159462903,0.6803391159462903,0.6803391159462903,0.6803391159462903
macro avg,0.5988739236964102,0.3211690498865417,0.3471565616476207,20406.0
weighted avg,0.6625541219210184,0.6803391159462903,0.6466406445706337,20406.0
