,precision,recall,f1-score,support
Clone,0.07692307692307693,0.02631578947368421,0.0392156862745098,38.0
Cause,0.11940298507462686,0.08,0.09580838323353294,100.0
Block,0.17721518987341772,0.23140495867768596,0.20071684587813618,121.0
Relate,0.4492753623188406,0.5324427480916031,0.4873362445414847,524.0
Duplicate,0.4266304347826087,0.4120734908136483,0.41922563417890524,381.0
Subtask,0.6968973747016707,0.647450110864745,0.671264367816092,451.0
Incorporate,0.0,0.0,0.0,43.0
Epic,0.9067460317460317,0.8771593090211133,0.8917073170731707,521.0
Depend,0.0,0.0,0.0,22.0
Split,0.1111111111111111,0.02857142857142857,0.04545454545454545,35.0
Non-Link,0.08974358974358974,0.1206896551724138,0.10294117647058823,116.0
accuracy,0.5259353741496599,0.5259353741496599,0.5259353741496599,0.5259353741496599
macro avg,0.2776313778431794,0.2687370446078475,0.26851547281099686,2352.0
weighted avg,0.5252072460636695,0.5259353741496599,0.5235113771924391,2352.0
