,precision,recall,f1-score,support
Cause,0.2222222222222222,0.008583690987124463,0.01652892561983471,233.0
Relate,0.5971351835273053,0.6594819062685386,0.6267618868633715,5057.0
Duplicate,0.2911899313501144,0.2937103289094057,0.2924446997989083,1733.0
Depend,0.5733547351524879,0.6201388888888889,0.5958298582151793,2880.0
Split,0.9292035398230089,0.695364238410596,0.7954545454545454,151.0
Documented,0.7508532423208191,0.5962059620596206,0.6646525679758308,369.0
Subtask,0.47560975609756095,0.2671232876712329,0.34210526315789475,146.0
Epic,0.911121903836814,0.9093553078041687,0.9102377486656962,2063.0
Non-Link,0.17148362235067438,0.09988776655443322,0.12624113475177307,891.0
accuracy,0.5887007320860755,0.5887007320860755,0.5887007320860755,0.5887007320860755
macro avg,0.5469082374090007,0.461094597506001,0.48558407005589266,13523.0
weighted avg,0.5728487901792482,0.5887007320860755,0.5769283359371181,13523.0
