,precision,recall,f1-score,support
Relate,0.40698587127158553,0.562059620596206,0.4721147279763259,1845.0
Subtask,0.8652373660030628,0.8479239619809905,0.8564931783729157,1999.0
Duplicate,0.27166666666666667,0.19520958083832335,0.22717770034843207,835.0
Epic,0.87322695035461,0.9086715867158671,0.8905967450271248,1084.0
Split,0.259927797833935,0.14257425742574256,0.18414322250639387,505.0
Replace,0.18085106382978725,0.10559006211180125,0.13333333333333333,483.0
Depend,0.5582595870206489,0.614448051948052,0.5850077279752705,1232.0
Non-Link,0.15384615384615385,0.11644832605531295,0.13256006628003314,687.0
accuracy,0.558246828143022,0.558246828143022,0.558246828143022,0.558246828143022
macro avg,0.44625018210330625,0.43661568095903697,0.43517833772747866,8670.0
weighted avg,0.5381777195645828,0.558246828143022,0.5429610613436873,8670.0
