,precision,recall,f1-score,support
Block,0.3608768971332209,0.48225352112676056,0.41282855075958524,3550.0
Incorporate,0.6830480397570403,0.5910176779741997,0.6337090163934426,2093.0
Cause,0.3352272727272727,0.09161490683229814,0.14390243902439026,644.0
Clone,0.7712129099427382,0.7947961373390557,0.7828269484808454,3728.0
Relate,0.4858420268256334,0.5730265260466603,0.5258450032993621,6258.0
Subtask,0.7808966861598441,0.8007195682590446,0.790683904075792,5003.0
Follow,0.16101694915254236,0.07465618860510806,0.10201342281879194,1018.0
Duplicate,0.16805324459234608,0.08617747440273038,0.11393119007332207,1172.0
Non-Link,0.10294117647058823,0.04198800342759212,0.05964698721850273,1167.0
accuracy,0.5597775342020866,0.5597775342020866,0.5597775342020866,0.5597775342020866
macro avg,0.42767946697346954,0.3929166671126055,0.3961541624604483,24633.0
weighted avg,0.5370816448873673,0.5597775342020866,0.5422182039213395,24633.0
