,precision,recall,f1-score,support
Depend,0.19390581717451524,0.13861386138613863,0.16166281755196305,505.0
Clone,0.6728971962616822,0.3564356435643564,0.4660194174757281,202.0
Relate,0.565487048522437,0.7868020304568528,0.6580343876034812,1970.0
Subtask,0.6441176470588236,0.674884437596302,0.6591422121896162,649.0
Duplicate,0.19101123595505617,0.0913978494623656,0.12363636363636364,372.0
Incorporate,0.4025974025974026,0.12449799196787148,0.19018404907975459,249.0
Non-Link,0.1639871382636656,0.10039370078740158,0.12454212454212453,508.0
accuracy,0.5041526374859708,0.5041526374859708,0.5041526374859708,0.5041526374859708
macro avg,0.4048576408333689,0.3247179307458983,0.34046019601129013,4455.0
weighted avg,0.45353488419940374,0.5041526374859708,0.46161675403922403,4455.0
