,precision,recall,f1-score,support
Subtask,0.5882352941176471,0.8620689655172413,0.6993006993006994,58.0
Relate,0.6444444444444445,0.6041666666666666,0.6236559139784946,48.0
Incorporate,0.0,0.0,0.0,2.0
Clone,0.75,0.3333333333333333,0.46153846153846156,9.0
Depend,0.0,0.0,0.0,4.0
Parent-Child,1.0,0.14285714285714285,0.25,7.0
Non-Link,0.36363636363636365,0.2,0.25806451612903225,20.0
accuracy,0.5878378378378378,0.5878378378378378,0.5878378378378378,0.5878378378378378
macro avg,0.47804515745692217,0.306060872624912,0.327508512992384,148.0
weighted avg,0.5815791058438119,0.5878378378378378,0.5510814926137507,148.0
