,precision,recall,f1-score,support
Relate,0.547244094488189,0.7808988764044944,0.6435185185185186,356.0
Bonfire Testing,0.15384615384615385,0.09523809523809523,0.11764705882352941,63.0
Duplicate,0.2608695652173913,0.0759493670886076,0.1176470588235294,79.0
Cause,0.18181818181818182,0.0425531914893617,0.06896551724137931,47.0
Subtask,0.7746478873239436,0.8396946564885496,0.8058608058608059,262.0
Depend,0.0,0.0,0.0,28.0
Supercede,0.5,0.08,0.13793103448275865,25.0
Fix,0.0,0.0,0.0,21.0
Non-Link,0.4024390243902439,0.375,0.3882352941176471,88.0
accuracy,0.564499484004128,0.564499484004128,0.564499484004128,0.564499484004128
macro avg,0.31342943412045593,0.2543704651899009,0.25331169865201875,969.0
weighted avg,0.5000389433982932,0.564499484004128,0.5137134851762969,969.0
