,precision,recall,f1-score,support
Relate,0.5835010060362174,0.8273894436519258,0.6843657817109144,1402.0
Depend,0.23369565217391305,0.12536443148688048,0.1631878557874763,343.0
Epic,0.6470588235294118,0.6984126984126984,0.6717557251908397,315.0
Subtask,0.42201834862385323,0.4791666666666667,0.4487804878048781,384.0
Supercede,0.0,0.0,0.0,92.0
Duplicate,0.20689655172413793,0.06521739130434782,0.09917355371900827,368.0
Non-Link,0.14893617021276595,0.06840390879478828,0.09375,307.0
accuracy,0.514481469947057,0.514481469947057,0.514481469947057,0.514481469947057
macro avg,0.32030093604289994,0.3234220771881868,0.3087162006018738,3211.0
weighted avg,0.4316306227753208,0.514481469947057,0.45614018655079075,3211.0
