,precision,recall,f1-score,support
Subtask,0.8859664104753772,0.9286865190666587,0.9068236116776411,16757.0
Relate,0.5789147111913358,0.7093095583661622,0.6375128117526478,14469.0
Duplicate,0.5307861462341946,0.372420443587271,0.43771959650912395,5185.0
Block,0.5537561853351327,0.42817391304347824,0.4829344841114162,2875.0
Epic,0.9397775220560031,0.9796081567373051,0.9592795614722005,2501.0
Depend,0.4915841584158416,0.3972,0.4393805309734513,2500.0
Non-Link,0.7122270742358079,0.701505376344086,0.7068255687973999,2325.0
Incorporate,0.6140035906642729,0.49161475802587445,0.5460351250665247,2087.0
Breaks,0.4303571428571429,0.2770114942528736,0.33706293706293705,870.0
Clone,0.5916870415647921,0.5601851851851852,0.5755053507728893,864.0
Require,0.44563279857397503,0.3453038674033149,0.38910505836575876,724.0
Supercede,0.37158469945355194,0.20923076923076922,0.26771653543307083,650.0
Cause,0.4199475065616798,0.2576489533011272,0.3193612774451097,621.0
accuracy,0.6934843976501106,0.6934843976501106,0.6934843976501106,0.6934843976501106
macro avg,0.5820173067399312,0.5121460765033927,0.5388663422646285,52428.0
weighted avg,0.6827251208939356,0.6934843976501106,0.6828968430969914,52428.0
