,precision,recall,f1-score,support
Epic,0.9504573170731707,0.9651702786377709,0.9577572964669739,1292.0
Subtask,0.9002320185614849,0.8631813125695217,0.8813174332765474,899.0
Relate,0.6356073211314476,0.6809269162210339,0.6574870912220309,561.0
Non-Link,0.7175572519083969,0.6911764705882353,0.704119850187266,408.0
Block,0.5,0.5947955390334573,0.5432937181663836,269.0
Duplicate,0.475,0.296875,0.3653846153846154,128.0
Clone,0.8452380952380952,0.7473684210526316,0.7932960893854749,95.0
accuracy,0.8094194961664841,0.8094194961664841,0.8094194961664841,0.8094194961664841
macro avg,0.7177274291303707,0.6913562768718072,0.7003794420127559,3652.0
weighted avg,0.8111270874387456,0.8094194961664841,0.8089091801890795,3652.0
