,precision,recall,f1-score,support
Relate,0.65,0.6403940886699507,0.6451612903225806,203.0
Block,0.6232876712328768,0.6842105263157895,0.6523297491039428,133.0
Subtask,0.8703703703703703,0.8545454545454545,0.8623853211009175,55.0
Duplicate,0.39473684210526316,0.3,0.34090909090909094,50.0
Non-Link,0.19148936170212766,0.225,0.2068965517241379,40.0
finish-start,0.75,0.75,0.75,20.0
Verify,1.0,0.875,0.9333333333333333,8.0
Clone,1.0,0.625,0.7692307692307693,8.0
accuracy,0.6170212765957447,0.6170212765957447,0.6170212765957447,0.6170212765957447
macro avg,0.6849855306763297,0.6192687586913994,0.6450307632155965,517.0
weighted avg,0.6211103427808341,0.6170212765957447,0.6172159006997903,517.0
