,precision,recall,f1-score,support
Subtask,0.9475982532751092,0.9313304721030042,0.9393939393939394,233.0
Relate,0.5174825174825175,0.4180790960451977,0.4625,177.0
Duplicate,0.4140127388535032,0.5038759689922481,0.45454545454545453,129.0
Non-Link,0.3561643835616438,0.4406779661016949,0.3939393939393939,59.0
Depend,0.3157894736842105,0.35294117647058826,0.33333333333333337,51.0
Trigger,0.1282051282051282,0.125,0.12658227848101264,40.0
Incorporate,0.0,0.0,0.0,9.0
accuracy,0.5802292263610315,0.5802292263610315,0.5802292263610315,0.5802292263610315
macro avg,0.38275035643744465,0.39598638281610476,0.3871849142418763,698.0
weighted avg,0.5845839668135312,0.5802292263610315,0.5797755972733757,698.0
