,precision,recall,f1-score,support
Relate,0.866650987770461,0.8726024153445417,0.8696165191740411,12669.0
Duplicate,0.6744135534317984,0.7159326723541619,0.6945531819706968,4337.0
Non-Link,0.81855249745158,0.764034253092293,0.7903543307086615,1051.0
Clone,0.6098562628336756,0.518324607329843,0.5603773584905661,573.0
Subtask,0.9333333333333333,0.9050505050505051,0.918974358974359,495.0
Incorporate,0.7180156657963447,0.5612244897959183,0.6300114547537228,490.0
Detail,0.8719512195121951,0.7647058823529411,0.8148148148148148,374.0
Cause,0.3333333333333333,0.30532212885154064,0.31871345029239767,357.0
accuracy,0.8049739506536912,0.8049739506536912,0.8049739506536912,0.8049739506536912
macro avg,0.7282633566828401,0.6758996192714681,0.6996769336474075,20346.0
weighted avg,0.8047388524064071,0.8049739506536912,0.8042527682409071,20346.0
