,precision,recall,f1-score,support
Epic,0.9407665505226481,0.9836065573770492,0.9617097061442564,549.0
Relate,0.5293159609120521,0.621414913957935,0.5716798592788039,523.0
Subtask,0.8774193548387097,0.8927789934354485,0.8850325379609545,457.0
Duplicate,0.5418060200668896,0.46551724137931033,0.5007727975270478,348.0
Block,0.4803921568627451,0.362962962962963,0.4135021097046414,135.0
Non-Link,0.3368421052631579,0.2807017543859649,0.30622009569377995,114.0
Cause,0.25,0.25,0.25,88.0
Incorporate,0.2972972972972973,0.2682926829268293,0.28205128205128205,41.0
Clone,0.4878048780487805,0.5,0.49382716049382713,40.0
Depend,0.3333333333333333,0.2,0.25,25.0
Split,0.42857142857142855,0.25,0.3157894736842105,24.0
accuracy,0.674061433447099,0.674061433447099,0.674061433447099,0.674061433447099
macro avg,0.5003226441560948,0.4613886460386818,0.4755077293217095,2344.0
weighted avg,0.6648530704117591,0.674061433447099,0.6670537587606972,2344.0
