,precision,recall,f1-score,support
Epic,0.9646643109540636,0.994535519125683,0.979372197309417,549.0
Relate,0.5604395604395604,0.6826003824091779,0.6155172413793104,523.0
Subtask,0.8723849372384938,0.912472647702407,0.8919786096256684,457.0
Duplicate,0.6541353383458647,0.5,0.5667752442996742,348.0
Block,0.42063492063492064,0.3925925925925926,0.4061302681992337,135.0
Non-Link,0.7058823529411765,0.5263157894736842,0.6030150753768845,114.0
Cause,0.3902439024390244,0.36363636363636365,0.3764705882352941,88.0
Incorporate,0.42857142857142855,0.21951219512195122,0.29032258064516125,41.0
Clone,0.5192307692307693,0.675,0.5869565217391304,40.0
Depend,0.2222222222222222,0.16,0.18604651162790697,25.0
Split,0.46153846153846156,0.25,0.32432432432432434,24.0
accuracy,0.7188566552901023,0.7188566552901023,0.7188566552901023,0.7188566552901023
macro avg,0.5636316549596351,0.5160604990965326,0.5297190147965459,2344.0
weighted avg,0.7148466360046092,0.7188566552901023,0.7120221898440835,2344.0
