,precision,recall,f1-score,support
Relate,0.6967071057192374,0.8072289156626506,0.747906976744186,1494.0
Block,0.6582633053221288,0.618421052631579,0.6377204884667571,380.0
Non-Link,0.7885906040268457,0.6420765027322405,0.707831325301205,366.0
Duplicate,0.4088669950738916,0.3018181818181818,0.3472803347280335,275.0
Incorporate,0.7653061224489796,0.6493506493506493,0.7025761124121779,231.0
Epic,0.9326424870466321,0.9574468085106383,0.9448818897637796,188.0
Subtask,0.848314606741573,0.848314606741573,0.848314606741573,178.0
Cause,0.4846153846153846,0.3620689655172414,0.4144736842105263,174.0
accuracy,0.7008520998174071,0.7008520998174071,0.7008520998174071,0.7008520998174071
macro avg,0.697913326374334,0.6483407103705943,0.6688731772960298,3286.0
weighted avg,0.6937092621605763,0.7008520998174071,0.6930390944245488,3286.0
