,precision,recall,f1-score,support
Relate,0.6735051727161143,0.7538763493621198,0.7114280422300427,5095.0
Depend,0.6971386101820884,0.6731252242554718,0.6849215041986125,2787.0
Epic,0.9448144624167459,0.9778434268833087,0.9610452455843214,2031.0
Duplicate,0.47128851540616246,0.3917345750873108,0.4278448823903369,1718.0
Non-Link,0.672360248447205,0.5088131609870741,0.5792642140468227,851.0
Documented,0.8243626062322946,0.7972602739726027,0.8105849582172702,365.0
Cause,0.391025641025641,0.28110599078341014,0.32707774798927614,217.0
Subtask,0.8770949720670391,0.8820224719101124,0.8795518207282913,178.0
Split,0.8602941176470589,0.78,0.8181818181818182,150.0
accuracy,0.7045250896057348,0.7045250896057348,0.7045250896057348,0.7045250896057348
macro avg,0.7124315940155944,0.6717534970268235,0.6888778037296436,13392.0
weighted avg,0.6978880311890081,0.7045250896057348,0.698895104026709,13392.0
