,precision,recall,f1-score,support
Subtask,0.9246332827516439,0.9321774604793472,0.9283900457084814,1961.0
Relate,0.5038961038961038,0.6473859844271412,0.5666991236611489,1798.0
Depend,0.7716933445661331,0.731629392971246,0.7511275112751128,1252.0
Epic,0.9441903019213175,0.9502762430939227,0.9472234970169803,1086.0
Duplicate,0.4592274678111588,0.37809187279151946,0.41472868217054265,849.0
Non-Link,0.7192982456140351,0.6741405082212257,0.6959876543209876,669.0
Split,0.49171270718232046,0.3339587242026266,0.3977653631284916,533.0
Replace,0.4669926650366748,0.3701550387596899,0.412972972972973,516.0
accuracy,0.7018698060941828,0.7018698060941828,0.7018698060941828,0.7018698060941828
macro avg,0.6602055148474235,0.6272269031183398,0.6393618562818397,8664.0
weighted avg,0.7023208139588045,0.7018698060941828,0.6984554074744957,8664.0
