,precision,recall,f1-score,support
Relate,0.5882777537173379,0.6571520722464119,0.620810481413772,6201.0
Subtask,0.8949032003160806,0.9085439229843562,0.9016719745222931,4986.0
Clone,0.8018040591330493,0.8660351826792964,0.8326827998959146,3695.0
Block,0.6141664267204147,0.5864723673357163,0.6000000000000001,3637.0
Incorporate,0.7842551071250623,0.7382739212007504,0.760570186035274,2132.0
Duplicate,0.3701657458563536,0.2265426880811496,0.281069743051914,1183.0
Non-Link,0.6355633802816901,0.6333333333333333,0.6344463971880493,1140.0
Follow,0.5116580310880829,0.38499025341130605,0.43937708565072303,1026.0
Cause,0.4048059149722736,0.3459715639810427,0.3730834752981261,633.0
accuracy,0.6948402549425567,0.6948402549425567,0.6948402549425567,0.6948402549425567
macro avg,0.6228444021344828,0.5941461450281514,0.6048569047840073,24633.0
weighted avg,0.686963443485958,0.6948402549425567,0.688857141680823,24633.0
