,precision,recall,f1-score,support
Relate,0.6906474820143885,0.741503604531411,0.7151725850509064,1942.0
Subtask,0.8870481927710844,0.8725925925925926,0.8797610156833459,675.0
Depend,0.5010351966873706,0.4689922480620155,0.48448448448448445,516.0
Non-Link,0.8090128755364807,0.7616161616161616,0.7845993756503642,495.0
Duplicate,0.3768844221105528,0.40540540540540543,0.390625,370.0
Incorporate,0.6898395721925134,0.48314606741573035,0.5682819383259912,267.0
Clone,0.6802325581395349,0.6157894736842106,0.6464088397790055,190.0
accuracy,0.68327721661055,0.68327721661055,0.68327721661055,0.68327721661055
macro avg,0.6621000427788465,0.6212922219010754,0.6384761769962995,4455.0
weighted avg,0.6850435607354619,0.68327721661055,0.6824140825560255,4455.0
