,precision,recall,f1-score,support
Subtask,0.8142857142857143,0.9047619047619048,0.857142857142857,63.0
Relate,0.5714285714285714,0.5405405405405406,0.5555555555555556,37.0
Non-Link,0.3333333333333333,0.38095238095238093,0.35555555555555557,21.0
Clone,0.5,0.3,0.37499999999999994,10.0
Parent-Child,0.4444444444444444,0.5,0.47058823529411764,8.0
Depend,0.5,0.16666666666666666,0.25,6.0
Incorporate,0.0,0.0,0.0,3.0
accuracy,0.6283783783783784,0.6283783783783784,0.6283783783783784,0.6283783783783784
macro avg,0.4519274376417234,0.39898878470307036,0.4091203147925837,148.0
weighted avg,0.6148541398541398,0.6283783783783784,0.6151143790849672,148.0
