,precision,recall,f1-score,support
Relate,0.6776119402985075,0.6358543417366946,0.6560693641618497,357.0
Subtask,0.8785714285714286,0.9144981412639405,0.896174863387978,269.0
Non-Link,0.5873015873015873,0.4567901234567901,0.5138888888888888,81.0
Bonfire Testing,0.323943661971831,0.3194444444444444,0.32167832167832167,72.0
Duplicate,0.22330097087378642,0.3382352941176471,0.2690058479532164,68.0
Cause,0.18333333333333332,0.23404255319148937,0.205607476635514,47.0
Depend,0.3333333333333333,0.375,0.35294117647058826,32.0
Supercede,0.3,0.13636363636363635,0.18749999999999997,22.0
Fix,0.45454545454545453,0.23809523809523808,0.31249999999999994,21.0
accuracy,0.6057791537667698,0.6057791537667698,0.6057791537667698,0.6057791537667698
macro avg,0.4402157455810291,0.40536930807443117,0.41281843768626186,969.0
weighted avg,0.6189389092919373,0.6057791537667698,0.6088866946622623,969.0
