,precision,recall,f1-score,support
Relate,0.7024922118380063,0.6531498913830558,0.6769230769230771,1381.0
Subtask,0.7742782152230971,0.7603092783505154,0.7672301690507152,388.0
Depend,0.3400900900900901,0.43142857142857144,0.38035264483627207,350.0
Duplicate,0.29398663697104677,0.37822349570200575,0.33082706766917297,349.0
Epic,0.9523809523809523,0.9785932721712538,0.9653092006033183,327.0
Non-Link,0.3253012048192771,0.2523364485981308,0.28421052631578947,321.0
Supercede,0.08823529411764706,0.06315789473684211,0.0736196319018405,95.0
accuracy,0.5876673933354095,0.5876673933354095,0.5876673933354095,0.5876673933354095
macro avg,0.4966806579200167,0.5024569789100537,0.49692461675716937,3211.0
weighted avg,0.5968318813472473,0.5876673933354095,0.5901525069159177,3211.0
