,precision,recall,f1-score,support
Block,0.3308270676691729,0.16236162361623616,0.2178217821782178,271.0
Epic,0.9516250944822373,0.975968992248062,0.963643321852277,1290.0
Relate,0.5090634441087614,0.6263940520446096,0.5616666666666668,538.0
Duplicate,0.48,0.09917355371900827,0.1643835616438356,121.0
Subtask,0.8382804503582395,0.8815931108719053,0.8593913955928646,929.0
Clone,0.5263157894736842,0.2702702702702703,0.35714285714285715,74.0
Non-Link,0.3967611336032389,0.4568764568764569,0.42470205850487547,429.0
accuracy,0.7357612267250822,0.7357612267250822,0.7357612267250822,0.7357612267250822
macro avg,0.5761247113850478,0.4960911513780783,0.5069645205116563,3652.0
weighted avg,0.7221048941047623,0.7357612267250822,0.7204811135865936,3652.0
