,precision,recall,f1-score,support
Relate,0.6035242290748899,0.6431924882629108,0.6227272727272727,213.0
finish-start,0.875,0.3888888888888889,0.5384615384615385,18.0
Block,0.44502617801047123,0.5944055944055944,0.5089820359281437,143.0
Subtask,0.6,0.5714285714285714,0.5853658536585366,42.0
Duplicate,0.23333333333333334,0.14285714285714285,0.17721518987341772,49.0
Clone,0.0,0.0,0.0,8.0
Verify,0.8,0.5,0.6153846153846154,8.0
Non-Link,0.058823529411764705,0.02702702702702703,0.03703703703703704,37.0
accuracy,0.5115830115830116,0.5115830115830116,0.5115830115830116,0.5115830115830116
macro avg,0.4519634087288074,0.3584749641087669,0.38564669288382025,518.0
weighted avg,0.488705035077254,0.5115830115830116,0.49166024203058806,518.0
