,precision,recall,f1-score,support
Subtask,0.905982905982906,0.8945147679324894,0.900212314225053,237.0
Relate,0.42857142857142855,0.6542553191489362,0.5178947368421053,188.0
Depend,0.3,0.19148936170212766,0.23376623376623376,47.0
Duplicate,0.2982456140350877,0.2905982905982906,0.2943722943722944,117.0
Trigger,0.36363636363636365,0.09090909090909091,0.14545454545454545,44.0
Incorporate,0.0,0.0,0.0,15.0
Non-Link,0.22727272727272727,0.1,0.1388888888888889,50.0
accuracy,0.5544412607449857,0.5544412607449857,0.5544412607449857,0.5544412607449857
macro avg,0.36052986278550186,0.3173952614701335,0.3186555733641601,698.0
weighted avg,0.5324466339471619,0.5544412607449857,0.5293517834823341,698.0
