,precision,recall,f1-score,support
Clone,0.6923076923076923,0.04411764705882353,0.08294930875576038,612.0
Duplicate,0.48754365541327127,0.48856742883807747,0.4880550052441441,4286.0
Cause,0.75,0.017045454545454544,0.033333333333333326,352.0
Relate,0.7569922983380625,0.8817974344849295,0.8146424806426987,12707.0
Incorporate,0.7192982456140351,0.08384458077709611,0.15018315018315018,489.0
Detail,0.5868055555555556,0.4470899470899471,0.5075075075075075,378.0
Subtask,0.6122448979591837,0.5636743215031316,0.5869565217391304,479.0
Non-Link,0.45588235294117646,0.19673617407071622,0.27485750474984166,1103.0
accuracy,0.6874938743506812,0.6874938743506812,0.6874938743506812,0.6874938743506812
macro avg,0.6326343372661222,0.34035912354602205,0.3673106015194458,20406.0
weighted avg,0.6746083717189639,0.6874938743506812,0.654491887887119,20406.0
