,precision,recall,f1-score,support
Clone,0.2,0.02631578947368421,0.046511627906976744,38.0
Cause,0.23529411764705882,0.04,0.06837606837606838,100.0
Block,0.25688073394495414,0.23140495867768596,0.24347826086956523,121.0
Relate,0.4477987421383648,0.6793893129770993,0.5398028809704322,524.0
Duplicate,0.4773413897280967,0.4146981627296588,0.4438202247191011,381.0
Subtask,0.7549800796812749,0.8403547671840355,0.7953830010493179,451.0
Incorporate,0.09090909090909091,0.023255813953488372,0.037037037037037035,43.0
Epic,0.9455909943714822,0.9673704414587332,0.9563567362428842,521.0
Depend,0.0,0.0,0.0,22.0
Split,0.0,0.0,0.0,35.0
Non-Link,0.13636363636363635,0.05172413793103448,0.075,116.0
accuracy,0.610969387755102,0.610969387755102,0.610969387755102,0.610969387755102
macro avg,0.3222871622530871,0.2976830349441291,0.2914332579246712,2352.0
weighted avg,0.5661572226488194,0.610969387755102,0.5770792173291459,2352.0
