,precision,recall,f1-score,support
Cause,0.32673267326732675,0.1853932584269663,0.23655913978494628,178.0
Incorporate,0.43478260869565216,0.3827751196172249,0.4071246819338422,209.0
Subtask,0.5384615384615384,0.4772727272727273,0.5060240963855421,176.0
Block,0.496875,0.4162303664921466,0.452991452991453,382.0
Duplicate,0.11940298507462686,0.08480565371024736,0.09917355371900827,283.0
Relate,0.6610070257611241,0.7711748633879781,0.7118537200504415,1464.0
Epic,0.8763440860215054,0.8763440860215054,0.8763440860215054,186.0
Non-Link,0.2441860465116279,0.25735294117647056,0.25059665871121717,408.0
accuracy,0.5407790626902008,0.5407790626902008,0.5407790626902008,0.5407790626902008
macro avg,0.46222399547417525,0.43141862701315836,0.44258342369974446,3286.0
weighted avg,0.5166575469553729,0.5407790626902008,0.5248822154665204,3286.0
