,precision,recall,f1-score,support
Cause,0.18181818181818182,0.017167381974248927,0.03137254901960784,233.0
Relate,0.6495129571769895,0.6988333003757168,0.6732710992570012,5057.0
Duplicate,0.32309217046580774,0.3762261973456434,0.3476406291655558,1733.0
Depend,0.6549413735343383,0.6788194444444444,0.6666666666666666,2880.0
Split,0.9166666666666666,0.7284768211920529,0.8118081180811808,151.0
Documented,0.864963503649635,0.6422764227642277,0.7371695178849145,369.0
Subtask,0.584070796460177,0.4520547945205479,0.5096525096525096,146.0
Epic,0.9529072561268621,0.9612215220552593,0.957046332046332,2063.0
Non-Link,0.24307036247334754,0.12794612794612795,0.1676470588235294,891.0
accuracy,0.6400207054647638,0.6400207054647638,0.6400207054647638,0.6400207054647638
macro avg,0.5967825853746674,0.5203357791798077,0.544697164510811,13523.0
weighted avg,0.6284394325337461,0.6400207054647638,0.6305753841581409,13523.0
