,precision,recall,f1-score,support
Relate,0.5356935577481138,0.5002710027100271,0.5173766816143498,1845.0
Subtask,0.9162537165510406,0.9249624812406203,0.9205875031117748,1999.0
Duplicate,0.2723543888433142,0.3976047904191617,0.32327166504381694,835.0
Epic,0.939748201438849,0.9640221402214022,0.9517304189435337,1084.0
Split,0.2266949152542373,0.21188118811881188,0.21903787103377684,505.0
Replace,0.19742489270386265,0.09523809523809523,0.12849162011173182,483.0
Depend,0.7450812660393499,0.7069805194805194,0.7255310287380259,1232.0
Non-Link,0.212707182320442,0.22416302765647744,0.21828490432317507,687.0
accuracy,0.6144175317185698,0.6144175317185698,0.6144175317185698,0.6144175317185698
macro avg,0.5057447651124012,0.5031404056356394,0.5005389616150231,8670.0
weighted avg,0.6159118648060736,0.6144175317185698,0.6127927964021436,8670.0
