,precision,recall,f1-score,support
Depend,0.21686746987951808,0.1782178217821782,0.1956521739130435,505.0
Clone,0.5555555555555556,0.24752475247524752,0.34246575342465757,202.0
Relate,0.6201550387596899,0.7715736040609137,0.6876272336575436,1970.0
Subtask,0.7904191616766467,0.8135593220338984,0.8018223234624147,649.0
Duplicate,0.22847682119205298,0.18548387096774194,0.20474777448071219,372.0
Incorporate,0.6292134831460674,0.2248995983935743,0.33136094674556216,249.0
Non-Link,0.2409090909090909,0.20866141732283464,0.22362869198312235,508.0
accuracy,0.5429854096520763,0.5429854096520763,0.5429854096520763,0.5429854096520763
macro avg,0.4687995173026602,0.37570291243376985,0.3981864139524366,4455.0
weighted avg,0.5208702827754758,0.5429854096520763,0.5197012775811969,4455.0
