,precision,recall,f1-score,support
Subtask,0.6571428571428571,0.7931034482758621,0.71875,58.0
Relate,0.5660377358490566,0.625,0.594059405940594,48.0
Incorporate,0.0,0.0,0.0,2.0
Clone,0.6,0.3333333333333333,0.42857142857142855,9.0
Depend,0.0,0.0,0.0,4.0
Parent-Child,0.25,0.14285714285714285,0.18181818181818182,7.0
Non-Link,0.42857142857142855,0.3,0.3529411764705882,20.0
accuracy,0.581081081081081,0.581081081081081,0.581081081081081,0.581081081081081
macro avg,0.3573931459376203,0.3134705606380483,0.32516288468582755,148.0
weighted avg,0.5473346324761419,0.581081081081081,0.5566962509758812,148.0
