,precision,recall,f1-score,support
Relate,0.5673624288425048,0.8398876404494382,0.6772366930917327,356.0
Bonfire Testing,0.20512820512820512,0.12698412698412698,0.1568627450980392,63.0
Duplicate,0.21052631578947367,0.05063291139240506,0.08163265306122448,79.0
Cause,0.16129032258064516,0.10638297872340426,0.1282051282051282,47.0
Subtask,0.8411552346570397,0.8893129770992366,0.8645640074211504,262.0
Depend,0.14285714285714285,0.07142857142857142,0.09523809523809523,28.0
Supercede,0.3333333333333333,0.12,0.1764705882352941,25.0
Fix,0.0,0.0,0.0,21.0
Non-Link,0.5531914893617021,0.29545454545454547,0.3851851851851852,88.0
accuracy,0.5985552115583075,0.5985552115583075,0.5985552115583075,0.5985552115583075
macro avg,0.3349827191722274,0.2777870835035253,0.2850438995039833,969.0
weighted avg,0.5371653060649896,0.5985552115583075,0.5479295499612981,969.0
