,precision,recall,f1-score,support
Relate,0.5918470055359839,0.8388017118402282,0.6940100324579521,1402.0
Depend,0.26063829787234044,0.14285714285714285,0.1845574387947269,343.0
Epic,0.8761609907120743,0.8984126984126984,0.8871473354231976,315.0
Subtask,0.5653206650831354,0.6197916666666666,0.5913043478260869,384.0
Supercede,0.0,0.0,0.0,92.0
Duplicate,0.23770491803278687,0.07880434782608696,0.11836734693877551,368.0
Non-Link,0.20245398773006135,0.10749185667752444,0.14042553191489363,307.0
accuracy,0.563064465898474,0.563064465898474,0.563064465898474,0.563064465898474
macro avg,0.3905894092809118,0.38373706061147816,0.37368743333651894,3211.0
weighted avg,0.48641266567022245,0.563064465898474,0.5074703734685476,3211.0
