Repo,Relate,Duplicate,Subtask,Depend,Clone,Incorporate,Epic,Block,Cause,Non-Link
Apache,50,43.0,34.0,37.0,3.0,41.0,44.0,36.0,62.0,52
Hyperledger,58,50.0,35.0,,2.0,,48.0,46.0,,46
IntelDAOS,91,146.0,30.0,,2.0,,,147.0,,59
JFrog,44,49.0,5.0,18.0,2.0,61.0,,,,60
Jira,0,43.0,33.0,39.0,8.0,49.0,,43.0,68.0,54
JiraEcosystem,32,24.0,12.0,36.0,4.0,31.0,28.0,24.0,51.0,36
MariaDB,144,124.0,37.0,,,98.0,38.0,122.0,166.0,162
Mojang,42,49.0,,,24.0,,,41.0,,35
MongoDB,58,47.0,22.0,36.0,1.0,,33.0,,63.0,49
Qt,56,51.0,16.0,44.0,9.0,,40.0,143.0,,55
RedHat,42,37.0,27.0,,0.0,44.0,,35.0,52.0,46
Sakai,52,38.0,36.0,48.0,3.0,41.0,,18.0,,48
SecondLife,51,,31.0,25.0,17.0,70.0,,,,54
Sonatype,45,42.0,30.0,46.0,,,53.0,,64.0,23
Spring,52,50.0,23.0,38.0,44.0,,23.0,,,53
