Repo,Relate,Duplicate,Subtask,Depend,Clone,Incorporate,Epic,Block,Cause,Non-Link
Apache,157,159.0,87.0,114.0,98.0,120.0,93.0,109.0,172.0,133
Hyperledger,176,159.0,79.0,,92.0,,96.0,131.0,,105
IntelDAOS,268,398.0,90.0,,123.0,,,297.0,,142
JFrog,152,172.0,9.0,70.0,260.0,195.0,,,,131
Jira,192,182.0,76.0,158.0,180.0,183.0,,161.0,244.0,168
JiraEcosystem,119,104.0,36.0,105.0,108.0,93.0,51.0,88.0,142.0,88
MariaDB,433,432.0,85.0,,,188.0,70.0,341.0,439.0,350
Mojang,155,146.0,,,126.0,,,132.0,,112
MongoDB,165,154.0,68.0,96.0,100.0,,69.0,,174.0,119
Qt,187,181.0,45.0,106.0,134.0,,89.0,216.0,,151
RedHat,135,136.0,74.0,,112.0,92.0,,97.0,153.0,110
Sakai,174,153.0,106.0,150.0,123.0,127.0,,192.0,,143
SecondLife,163,,79.0,120.0,130.0,102.0,,,,160
Sonatype,162,185.0,68.0,107.0,,,116.0,,184.0,50
Spring,173,179.0,58.0,107.0,124.0,,53.0,,,127
